# shows coverageEvents
# [coverage timeStamp(usec)]
0 2900000
0.1 76400000
0.15 109300000
0.2 140300000
0.25 244100000
0.3 309300000
0.35 373100000
0.4 492400000
0.45 560800000
0.5 634100000
0.55 718700000
0.6 807100000
0.65 960600000
0.7 1218600000
0.75 1982900000
0.8 2120100000
0.85 2973200000
0.9 3047500000
