# shows coverageEvents
# [coverage timeStamp(usec)]
0 2700000
0.1 57100000
0.15 94200000
0.2 123800000
0.25 149000000
0.3 191000000
0.35 245700000
0.4 314800000
0.45 407200000
0.5 474200000
0.55 563000000
0.6 638100000
0.65 755000000
0.7 902000000
0.75 1205700000
0.8 1967000000
0.85 2010800000
0.9 2107100000
