# shows coverageEvents
# [coverage timeStamp(usec)]
0 1700000
0.1 102000000
0.15 171500000
0.2 262700000
0.25 322300000
0.3 388000000
0.35 520400000
0.4 617500000
0.45 776400000
0.5 842700000
0.55 922700000
0.6 1000400000
0.65 1173700000
0.7 1481600000
0.75 2202400000
0.8 2580700000
0.85 2815400000
0.9 3139000000
