# shows coverageEvents
# [coverage timeStamp(usec)]
0 2100000
0.1 279400000
0.15 445700000
0.2 584600000
0.25 730800000
0.3 883800000
0.35 1022000000
0.4 1159500000
0.45 1332800000
0.5 1553200000
0.55 1844200000
0.6 1984400000
0.65 2281100000
0.7 2503200000
0.75 2925200000
0.8 3757400000
0.85 4123100000
0.9 4715000000
