# shows coverageEvents
# [coverage timeStamp(usec)]
0 2900000
0.1 127700000
0.15 199800000
0.2 356300000
0.25 511800000
0.3 700100000
0.35 812400000
0.4 903500000
0.45 1016000000
0.5 1115800000
0.55 1220100000
0.6 1572500000
0.65 1660300000
0.7 3666600000
0.75 5289200000
