# shows coverageEvents
# [coverage timeStamp(usec)]
0 700000
0.1 56100000
0.15 76200000
0.2 107300000
0.25 137500000
0.3 164300000
0.35 191200000
0.4 217600000
0.45 234900000
0.5 257300000
0.55 277800000
0.6 313500000
0.65 340600000
0.7 367400000
0.75 395900000
0.8 432200000
0.85 508000000
0.9 651700000
