# shows coverageEvents
# [coverage timeStamp(usec)]
0 1000000
0.1 108100000
0.15 161700000
0.2 238800000
0.25 297500000
0.3 353900000
0.35 436700000
0.4 540300000
0.45 626300000
0.5 679400000
0.55 781400000
0.6 844400000
0.65 936000000
0.7 1100700000
0.75 1534800000
0.8 1725000000
0.85 1883600000
0.9 2165500000
