# shows coverageEvents
# [coverage timeStamp(usec)]
0 700000
0.1 437100000
0.15 574400000
0.2 685800000
0.25 786500000
0.3 1080600000
0.35 1184000000
0.4 1330100000
0.45 1450000000
0.5 1648500000
0.55 1825200000
0.6 1993000000
0.65 2222100000
0.7 2476500000
0.75 2984400000
0.8 3204600000
0.85 4354800000
0.9 4818100000
