# shows coverageEvents
# [coverage timeStamp(usec)]
0 2100000
0.1 60100000
0.15 90300000
0.2 125800000
0.25 161200000
0.3 196600000
0.35 228900000
0.4 266000000
0.45 308600000
0.5 352300000
0.55 411300000
0.6 494600000
0.65 636100000
0.7 769500000
0.75 922900000
0.8 1080400000
0.85 1402900000
0.9 1499600000
