# shows coverageEvents
# [coverage timeStamp(usec)]
0 700000
0.1 62800000
0.15 133900000
0.2 175300000
0.25 214200000
0.3 257100000
0.35 298700000
0.4 347700000
0.45 398900000
0.5 452600000
0.55 525800000
0.6 577300000
0.65 622900000
0.7 685700000
0.75 773300000
0.8 940000000
0.85 1134200000
0.9 1301100000
