# shows coverageEvents
# [coverage timeStamp(usec)]
0 1700000
0.1 34100000
0.15 49200000
0.2 66900000
0.25 91400000
0.3 108300000
0.35 131400000
0.4 150900000
0.45 177800000
0.5 206200000
0.55 252200000
0.6 290900000
0.65 346500000
0.7 388600000
0.75 475500000
0.8 551700000
0.85 642400000
0.9 747700000
